firstname,birthday
Abbie,1984-10-23
Addia,1957-09-19
Mamie,1955-03-18
Zia,1997-04-03
Ricky,1950-08-08
Bobinette,1993-06-08
Eve,1966-01-29
Quintina,1988-08-09
Marika,1974-05-17
Aeriela,1952-01-24
Agnese,1953-06-05
Rebeca,1957-08-05
Lindie,1970-11-10
Nonnah,1992-05-21
Margette,1961-09-24
Bettine,1998-03-14
Katharina,1960-06-29
Aigneis,1993-09-10
Madeleine,1990-12-02
Charlena,1962-10-16
Collen,1971-12-09
Myrtice,1982-05-22
Mady,1951-12-12
Mildrid,1954-03-08
Roseline,1996-06-19
Mireielle,1960-08-14
Nadine,1989-03-10
Anallese,1974-05-24
Netty,1953-02-25
Marjie,1959-05-30
Karly,1952-11-18
Alyssa,1966-10-13
Binny,1952-01-12
Stevana,1987-04-24
Odessa,1969-04-19
Lulita,1957-04-10
Robinia,1972-07-18
Ida,1999-01-28
Rivalee,1954-07-04
Karina,1990-02-26
Chere,1968-09-12
Alex,1966-04-14
Dode,1981-08-20
Caressa,1971-12-25
Dorothy,1970-06-30
Vere,1987-07-28
Ada,1984-05-01
Cassandra,1950-11-04
Pamella,1952-08-16
Eve,1955-05-26
Ilse,1973-06-02
Vere,1994-01-03
Siana,1989-12-13
Marika,1957-03-18
Jackie,1991-11-14
Ileana,1977-07-13
Fredericka,1951-03-16
Elka,1981-04-05
Nelle,1985-06-19
Andeee,1966-02-05
Roslyn,1976-01-31
Jeanna,1983-02-14
Kary,1994-08-29
Fanny,1998-03-14
Laure,1978-01-03
Aaren,1986-04-23
Chastity,1977-07-07
Rebeca,1981-10-01
Wilma,1951-06-17
Yolane,1999-12-21
Teddie,1976-05-14
Daphne,1951-06-18
Cathie,1991-09-18
Karlee,1974-10-13
Cristabel,1982-07-18
Gale,1982-11-03
Alejandra,1996-09-27
Vinita,1976-01-23
Eadie,1957-06-18
Valeda,1979-11-08
Correy,1978-02-07
Ursulina,1968-09-02
Vinita,1989-02-27
Keelia,1991-05-26
Berta,1986-10-01
Caressa,1956-04-22
Jemie,1965-02-06
Fanchon,1980-04-08
Gwenneth,1965-04-25
Cathyleen,1975-08-17
Celisse,1989-12-08
Lorne,1985-05-18
Corina,1967-11-16
Anallese,1969-05-10
Heida,1987-03-13
Melanie,1977-05-23
Kittie,1998-12-07
Lusa,1999-12-19
Luci,1988-04-04
Ada,1984-01-17
Queenie,1968-06-10
Ottilie,1989-02-28
Leontine,1983-04-01
Ebonee,1985-09-29
Eve,1958-05-16
Wilma,1990-08-29
Tabbatha,1990-08-18
Justinn,1980-08-31
Cathie,1977-12-03
Aimil,1969-01-24
Selma,1953-09-08
Starla,1985-08-23
Britte,1960-04-13
Rubie,1970-01-10
Maye,1956-12-12
Molli,1973-09-11
Belva,1972-01-01
Elie,1986-07-18
Judy,1957-06-10
Gavrielle,1985-07-16
Priscilla,1986-07-07
Mallory,1981-12-25
Corly,1971-04-16
Melodie,1990-06-20
Romona,1980-03-27
Marinna,1965-10-18
Gabriellia,1974-05-31
Florie,1950-03-15
Sibella,1969-01-05
Elmira,1952-11-16
Alex,1958-12-21
Hettie,1978-12-17
Myriam,1985-04-28
Camile,1991-04-04
Winny,1994-07-13
Etta,1971-05-21
Tybie,1991-12-10
Gerianna,1985-08-10
Rhea,1995-10-10
Jessamyn,1985-11-19
Kylynn,1982-02-11
Danika,1992-09-14
Malina,1983-07-11
Joeann,1966-02-25
Genevra,1988-11-30
Dorene,1991-07-20
Babita,1963-04-15
Latisha,1998-10-14
Hallie,1961-03-14
Lorie,1987-10-03
Annabela,1957-08-29
Carolina,1956-04-15
Charmaine,1993-10-13
Fayre,1957-04-28
Marleah,1990-04-17
Dione,1951-07-05
Taffy,1956-11-14
Lindie,1995-11-11
Wynne,1968-04-17
Quintina,1962-05-11
Randa,1957-12-21
Damaris,1965-08-26
Corene,1959-01-23
Gloria,1982-07-11
Thalia,1998-06-25
Tersina,1972-07-29
Myriam,1984-08-05
Georgetta,1952-05-08
Rivalee,1994-01-17
Hope,1990-11-27
Catharine,1953-04-05
Ermengarde,1992-12-23
Jacenta,1952-04-05
Kassey,1967-04-17
Ninnetta,1976-03-15
Alexine,1995-01-26
Adriana,1959-11-21
Liana,1994-07-30
Jsandye,1961-06-09
Vere,1969-07-17
Ulrike,1983-01-04
Adore,1975-05-22
Marylou,1968-04-14
Caritta,1990-11-09
Malina,1954-06-13
Viki,1985-05-09
Netty,1983-04-16
Fawne,1950-07-10
Jerry,1998-06-26
Myriam,1987-10-07
Daune,1972-12-22
Chrystel,1989-07-20
Kore,1953-04-05
Mara,1990-06-28
Mureil,1952-01-25
Sue,1951-05-18
Sue,1951-07-19
Inga,1981-12-24
Elbertina,1973-11-19
Eugine,1980-08-26
Marjie,1966-03-12
Alisha,1985-06-13
Annaliese,1972-09-24
Nita,1953-12-11
Gianina,1956-01-23
Emilia,1965-03-07
Gaylene,1953-07-07
Cordi,1956-02-22
Katuscha,1962-04-29
Nita,1969-05-21
Meg,1982-03-20
Melisent,1965-03-09
Maye,1985-07-24
Kerrin,1977-01-19
Philis,1955-06-10
Bobinette,1993-01-08
Damaris,1977-07-08
Keelia,1995-09-10
Jean,1967-01-30
Arlena,1972-07-19
Coral,1950-07-13
Tarra,1993-11-19
Wendi,1978-09-30
Nariko,1985-01-06
Nadine,1960-10-31
Stephanie,1961-11-28
Cecile,1969-05-20
Nyssa,1980-02-25
Raquela,1978-10-11
Bobbi,1986-08-25
Wanda,1956-04-24
Aimil,1990-11-10
Raina,1991-02-02
Marti,1983-07-22
Reeba,1977-07-16
Basia,1967-04-25
Albertina,1983-08-30
Zondra,1986-09-01
Marinna,1981-03-23
Cyndie,1966-05-07
Mamie,1962-10-08
Corina,1984-06-25
Annecorinne,1972-03-18
Catrina,1986-08-27
Heida,1968-02-13
Tamqrah,1980-06-24
Fredericka,1961-03-27
Brandise,1978-02-14
Dania,1979-10-13
Binny,1999-08-15
Zaria,1984-05-21
Edee,1959-01-28
Catharine,1953-07-21
Correy,1981-09-03
Cordi,1964-06-22
Allyce,1979-09-25
Lesly,1977-08-14
Dulce,1982-07-09
Nyssa,1955-08-28
Edee,1999-12-23
Kristina,1986-10-01
Melina,1982-01-20
Sindee,1973-02-05
Ninnetta,1962-06-29
Claudina,1966-05-24
Sue,1969-03-24
Roseline,1962-10-25
Benita,1984-07-21
Rochette,1956-06-21
Cacilie,1975-08-30
Nataline,1979-04-15
Amii,1967-09-12
Esmeralda,1961-09-17
Mellicent,1993-03-03
Rani,1997-08-23
Arabel,1972-12-07
Karena,1987-03-15
Maud,1959-06-11
Kary,1969-11-01
Talya,1999-02-06
Anthia,1958-11-26
Rosabelle,1957-03-18
Sara-Ann,1993-11-04
Stevana,1984-05-11
Claudina,1966-02-15
Debee,1982-08-14
Agathe,1957-03-20
Nonnah,1959-06-24
Xylina,1982-06-26
Shell,1986-07-08
Zsa Zsa,1950-12-08
Netty,1956-08-09
Carlie,1967-04-22
Nananne,1966-10-30
Calla,1996-01-06
Alexine,1965-10-19
Joceline,1989-01-23
Atlanta,1959-12-08
Isa,1973-11-23
Clo,1975-11-10
Codie,1988-09-09
Joceline,1976-03-04
Nyssa,1955-12-04
Rori,1989-08-20
Julieta,1958-03-22
Zondra,1984-08-29
Jere,1967-04-10
Flo,1979-04-02
Cathyleen,1961-02-17
Louella,1989-03-09
Antonietta,1995-08-25
Gusella,1984-02-02
Neila,1989-01-23
Tobe,1996-02-08
Jessamyn,1980-04-19
Lynea,1990-03-05
Willetta,1980-04-28
Kimberley,1975-08-25
Dianemarie,1986-03-13
Trixi,1984-11-23
Shirlee,1967-08-26
Myrtice,1984-11-02
Josephine,1982-06-16
Ericka,1957-09-16
Averyl,1982-06-08
Kristina,1955-03-27
Merci,1956-02-21
Dagmar,1963-04-18
Chastity,1972-08-31
Jenda,1961-02-10
Anthia,1961-07-04
Fredericka,1969-08-05
Gianina,1979-10-16
Nonnah,1960-03-26
Elena,1994-08-17
Lelah,1986-05-06
Charissa,1995-06-21
Zsa Zsa,1952-01-22
Valli,1966-02-05
Aigneis,1971-04-07
Modestia,1993-02-05
Tera,1987-03-11
Frank,1984-02-03
Amara,1993-04-26
Frances,1990-10-12
Genevra,1951-05-28
Kellen,1955-07-30
Clementine,1951-03-25
Ninnetta,1980-11-09
Korrie,1983-01-04
Shirlee,1966-01-19
Edyth,1999-12-27
Inga,1994-05-20
Elora,1950-04-21
Brietta,1958-01-12
Nannie,1997-03-05
Kathi,1969-09-01
Drucie,1989-05-30
Joleen,1966-06-16
Odessa,1994-02-20
Alyda,1990-02-20
Randa,1981-10-05
Vita,1955-01-07
Henriette,1957-04-12
Merci,1957-05-23
Mariann,1969-10-16
Ivett,1968-04-27
Orelia,1983-12-20
Madelle,1994-08-06
Kary,1971-01-08
Inga,1961-09-26
Rani,1980-10-12
Hermione,1978-02-06
Fina,1966-09-17
Gretal,1969-01-04
Heida,1989-12-21
Janis,1973-12-01
Gabi,1990-07-27
Aryn,1979-01-30
Cathie,1951-04-06
Sue,1962-07-12
Bernardine,1979-02-18
Willetta,1963-04-05
Correy,1982-02-19
Nanete,1990-08-27
Sharlene,1953-07-08
Livvyy,1982-03-06
Flory,1959-09-19
Elmira,1969-12-28
Misha,1955-11-26
Caritta,1979-11-06
Wendi,1962-12-27
Juliane,1960-11-20
Leanna,1958-02-03
Mireielle,1951-11-02
Melodie,1971-04-20
Ezmeralda,1994-04-28
Cathie,1956-08-08
Susette,1994-09-29
Edee,1957-07-12
Ursulina,1969-02-04
Codie,1969-04-16
Starla,1950-01-16
Devina,1990-07-09
Jany,1956-07-02
Amii,1984-07-11
Stevana,1952-07-07
Teriann,1999-11-26
Chandra,1954-04-06
Di,1981-09-10
Vivia,1965-07-05
Jillayne,1976-06-26
Christy,1969-05-01
Lynde,1984-09-07
Tybie,1964-09-03
Stevana,1972-04-30
Patricia,1981-12-27
Britte,1971-08-16
Abbie,1995-09-08
Mady,1975-04-19
Beverley,1955-04-26
Sadie,1997-04-25
Linzy,1992-08-31
Andree,1990-09-21
Janey,1955-03-21
Tonia,1961-04-13
Madeleine,1970-06-12
Linzy,1994-11-01
Cindelyn,1976-01-16
Tani,1990-11-01
Nonnah,1984-04-09
Donetta,1978-10-11
Kamilah,1999-04-13
Calla,1996-02-13
Elmira,1966-05-04
Raquela,1952-01-11
Georgetta,1962-02-10
Wileen,1958-03-06
Philis,1956-02-26
Lulita,1975-05-09
Netty,1969-12-01
Cathyleen,1963-08-16
Deedee,1973-01-09
Kimmy,1965-11-25
Anallese,1969-01-04
Brana,1991-08-12
Cacilie,1964-01-08
Penelopa,1974-11-02
Lusa,1961-03-30
Rubie,1994-06-04
Veda,1997-08-25
Inga,1952-08-21
Cristabel,1950-10-24
Anica,1963-01-02
Ulrike,1979-01-22
Marita,1997-07-27
Lulita,1992-11-13
Konstance,1976-04-14
Fawne,1967-11-26
Jaclyn,1977-07-23
Meg,1977-08-31
Daune,1963-08-13
Betta,1976-11-08
Cassondra,1959-10-13
Ardys,1958-01-25
Sashenka,1972-12-07
Gertrud,1960-04-16
Barbi,1954-03-23
Phylis,1982-08-20
Beth,1987-07-05
Rani,1998-10-29
Hildegaard,1958-01-28
Olwen,1961-04-30
Lorenza,1987-01-05
Correy,1956-01-27
Rubie,1962-01-07
Carmencita,1954-11-05
Jaclyn,1992-03-03
Celestyna,1978-04-26
Letizia,1975-08-27
Calla,1976-09-05
Cristabel,1992-09-17
Dione,1967-12-26
Clary,1973-09-16
Meghann,1990-03-31
Ericka,1982-07-02
Ermengarde,1991-11-20
Elora,1999-02-13
Margarette,1997-06-17
Celene,1988-11-27
Nariko,1985-01-04
Jordan,1951-07-04
Alejandra,1985-10-25
Fidelia,1954-05-08
Althea,1986-09-08
Imojean,1970-05-13
Adore,1963-01-07
Stevana,1954-09-05
Gretal,1975-05-11
Sherrie,1965-02-23
Eugine,1954-12-06
Elvira,1993-09-23
Shannah,1979-03-14
Bobinette,1974-07-19
Ada,1971-10-24
Lynnea,1980-03-14
Dale,1990-11-28
Danika,1963-06-12
Jennica,1973-05-10
Kial,1975-05-07
Bobinette,1954-08-08
Sallie,1992-03-27
Britni,1954-09-28
Mamie,1981-05-05
Jolyn,1966-07-09
Kial,1964-08-31
Addia,1966-01-15
Nataline,1958-08-10
Iseabal,1990-07-01
Bobinette,1978-09-14
Dagmar,1955-11-09
Lolita,1966-09-02
Basia,1964-09-02
Johna,1955-05-15
Sissy,1958-03-12
Alie,1958-11-02
Sara-Ann,1983-01-07
Isa,1967-04-20
Tonia,1973-05-22
Joeann,1999-07-25
Selma,1978-06-24
Zaria,1968-07-29
Desirae,1991-10-17
Pearline,1954-10-21
Dagmar,1992-06-06
Mahalia,1972-06-14
Ricky,1985-02-15
Glenda,1997-02-26
Jacquetta,1999-03-10
Halette,1989-10-03
Kimberley,1983-12-21
Oona,1963-05-11
Mureil,1990-07-15
Netty,1978-12-04
Diena,1972-09-30
Kaja,1956-08-31
Arabel,1978-06-14
Viki,1958-01-30
Imojean,1977-01-26
Willetta,1969-05-18
Sabina,1997-10-13
Brianna,1965-03-28
Rani,1995-08-15
Nerta,1966-04-20
Averyl,1983-10-26
Bobbi,1964-11-16
Suzette,1981-10-24
Charlena,1955-02-21
Cherilyn,1980-03-19
Fanchon,1972-04-27
Gwyneth,1964-07-14
Feliza,1971-05-09
Madeleine,1985-11-15
Malina,1970-06-30
Mallory,1965-03-07
Jacenta,1993-04-02
Jacquetta,1983-03-11
Dulcinea,1985-03-15
Flory,1996-06-19
Almeta,1953-11-17
Gloria,1954-04-06
Sybille,1986-04-09
Jennica,1979-05-26
Lenna,1985-03-02
Clary,1957-04-28
Flory,1978-02-02
Jemie,1973-07-28
Edyth,1986-07-22
Jordan,1991-06-25
Karena,1993-01-07
Aurelie,1974-05-30
Gwenneth,1957-08-26
Henriette,1989-11-10
Fidelia,1986-09-16
Ellette,1966-04-26
Tersina,1973-05-03
Blondelle,1994-11-15
Tera,1994-01-15
Dorene,1970-04-06
Kristan,1953-07-29
Susan,1977-03-29
Cassandra,1958-01-17
Kore,1951-10-24
Donnie,1972-08-06
Roslyn,1962-11-15
Dode,1961-03-21
Janey,1957-07-16
Talya,1980-07-01
Madeleine,1987-05-19
Phylis,1995-04-13
Doro,1957-04-14
Brianna,1981-12-13
Raina,1959-10-30
Tybie,1980-03-26
Sallie,1991-02-15
Minne,1986-09-06
Merle,1956-09-04
Calla,1959-01-04
Ermengarde,1951-08-23
Verla,1978-12-17
Clo,1999-06-16
Claudina,1980-10-31
Camile,1967-02-01
Allyce,1951-10-22
Aaren,1955-09-24
Emelina,1967-03-24
Pamella,1951-05-09
Candi,1971-06-10
Jemie,1956-04-12
Ada,1959-06-12
Joane,1977-08-16
Louella,1957-07-17
Jerry,1995-01-11
Orsola,1950-09-01
Modestia,1985-11-11
Ingrid,1965-06-28
Courtnay,1980-12-14
Wilma,1980-09-05
Berget,1994-11-25
Binny,1958-08-29
Rebeca,1958-11-24
Krystle,1975-08-07
Cacilie,1950-12-28
Sibella,1998-06-19
Hollie,1964-04-22
Robinia,1964-11-11
Beth,1982-01-13
Adele,1979-05-15
Vinita,1953-10-31
Hyacinthe,1972-04-25
Brynna,1987-10-31
Ethel,1960-02-11
Ira,1975-09-11
Konstance,1954-01-13
Paulita,1990-10-20
Sherrie,1993-08-14
Carolina,1995-09-14
Amelia,1988-03-19
Hallie,1965-05-19
Ana,1994-03-31
Kimmy,1954-06-04
Dulce,1996-01-12
Jessamyn,1992-05-19
Brianna,1999-12-18
Ginnie,1957-06-07
Vinita,1975-09-26
Kylynn,1995-12-17
Flo,1967-03-17
Patricia,1957-01-31
Monika,1995-11-18
Alejandra,1985-10-09
Charmaine,1976-08-27
Jennica,1964-06-15
Winny,1993-04-30
Josephine,1955-05-06
Dulcinea,1961-01-23
Kittie,1957-12-05
Emmey,1970-06-25
Adelle,1951-02-06
Daryl,1978-07-04
Halette,1989-06-02
Kara-Lynn,1984-01-15
Ericka,1996-01-31
Gabriellia,1979-06-29
Andree,1961-03-22
Caritta,1996-05-04
Joane,1991-03-20
Lila,1995-09-17
Aurore,1953-08-08
Cordi,1956-05-12
Modestia,1985-04-17
Tersina,1961-06-06
Wendi,1979-09-05
Therine,1964-04-27
Jenda,1962-12-31
Iseabal,1985-04-25
Gilda,1950-03-06
Belinda,1995-12-08
Aubrie,1967-03-23
Oona,1962-06-09
Marylou,1954-11-27
Kayla,1962-08-28
Esmeralda,1998-09-30
Paule,1963-11-30
Hollie,1957-11-04
Jany,1982-06-11
Kristan,1975-12-10
Mariann,1980-10-21
Rayna,1990-01-22
Kristina,1964-12-27
Steffane,1992-10-23
Keelia,1993-05-05
Sandie,1990-06-17
Vivia,1979-10-23
Anallese,1965-06-29
Kelly,1988-09-02
Elyssa,1955-05-01
Ofilia,1986-11-14
Caressa,1974-12-07
Rosanne,1961-01-28
Correy,1962-03-04
Candy,1976-09-26
Abbie,1985-06-01
Elise,1986-07-14
Odessa,1990-12-14
Gertrud,1956-11-15
Beth,1970-10-18
Leeanne,1982-09-01
Darlleen,1959-11-27
Ezmeralda,1976-09-09
Annora,1990-12-19
Lindie,1972-08-28
Collen,1950-02-19
Viki,1954-06-01
Arabel,1972-07-18
Ruthe,1964-09-09
Brynna,1988-10-24
Natka,1954-09-29
Noelle,1970-12-01
Aimil,1981-03-16
Kate,1952-08-07
Codie,1977-09-20
Zaria,1983-12-16
Renae,1979-01-17
Elfreda,1981-03-18
Cherrita,1970-08-28
Frieda,1968-05-23
Bernie,1962-11-20
Krystle,1999-11-07
Aryn,1954-03-15
Aaren,1987-05-24
Sindee,1987-05-21
Melina,1968-10-13
Janeczka,1960-07-07
Valera,1963-11-14
Starla,1991-06-07
Consuela,1961-08-15
Atlanta,1954-03-26
Meg,1968-01-31
Winny,1996-01-03
Vevay,1995-10-07
Inga,1960-10-30
Joceline,1993-01-25
Lucille,1971-09-06
Imojean,1979-04-20
Roz,1970-09-16
Marti,1965-12-03
Amii,1971-06-19
Jasmina,1989-09-25
Tatiania,1956-03-30
Julieta,1987-11-03
Netty,1965-07-28
Cathyleen,1965-05-16
Kirbee,1956-02-28
Emylee,1951-11-21
Farrah,1965-06-26
Libbie,1993-11-27
Tiffie,1952-10-06
Keelia,1955-03-13
Kore,1967-12-13
Beth,1978-01-01
Nananne,1994-07-25
Verla,1971-03-12
Valera,1984-02-24
Gratia,1956-04-01
Fanny,1972-07-18
Amelia,1964-12-09
Karina,1956-10-04
Ofilia,1954-06-06
Sam,1966-06-30
Bettine,1975-08-20
Winny,1992-03-31
Cristine,1993-11-18
Joceline,1983-05-20
Penelopa,1962-02-01
Melisent,1988-07-19
Stevana,1967-12-16
Sharlene,1976-12-27
Lucille,1976-08-30
Sonni,1997-06-22
Roseline,1995-06-23
Cathie,1997-08-07
Devina,1968-12-08
Ketti,1972-10-14
Dione,1989-06-28
Kathy,1982-05-23
Elsie,1969-01-07
Beatriz,1966-04-14
Dacia,1978-10-02
Harrietta,1968-02-20
Minda,1961-01-19
Tina,1965-08-05
Marylou,1991-02-08
Tressa,1978-02-18
Daryl,1997-04-07
Teriann,1999-05-29
Elsie,1980-03-02
Zondra,1997-05-01
Tressa,1959-09-01
Sophia,1978-05-27
Sue,1991-08-19
Minne,1958-10-18
Jessamyn,1980-10-31
Brietta,1991-11-11
Alameda,1982-04-26
Merle,1993-03-28
Mara,1964-09-22
Mureil,1965-11-21
Molli,1955-09-10
Henriette,1976-09-04
Madeleine,1993-04-16
Jasmina,1977-01-21
Drucie,1986-03-02
Gretal,1994-02-11
Merrie,1990-08-29
Melina,1966-11-24
Queenie,1991-11-22
Oona,1995-06-11
Nataline,1996-03-20
Karena,1985-06-08
Alie,1953-07-25
Addia,1959-05-06
Kamilah,1969-12-09
Estell,1969-04-05
Yvonne,1987-09-01
Agnese,1969-09-26
Ulrike,1965-06-22
Blake,1958-12-24
Lisette,1970-08-27
Genevra,1975-11-08
Starla,1974-05-19
Raf,1970-02-28
Ulrike,1981-12-07
Rebeca,1973-10-29
Selma,1971-03-29
Adele,1962-02-15
Johna,1965-07-29
Emilia,1957-06-18
Penelopa,1991-04-11
Noelle,1952-10-20
Adore,1998-09-01
Cristabel,1976-11-19
Aeriela,1993-08-22
Ofilia,1974-08-13
Farrah,1961-11-25
Ernesta,1959-07-24
Dominga,1970-08-13
Alyda,1961-07-22
Candi,1968-03-04
Fanchon,1967-11-22
Kassey,1979-10-23
Kittie,1980-04-01
Alejandra,1968-12-16
Chastity,1952-05-21
Britni,1994-04-27
Raquela,1958-07-22
Rhea,1987-03-08
Damaris,1975-03-26
Marsiella,1976-08-05
Hayley,1994-01-13
Deloria,1956-08-11
Marnia,1981-03-24
Sean,1987-03-04
Lexine,1972-07-01
Ernesta,1986-07-19
Veda,1996-04-17
Wileen,1993-11-03
Tera,1981-05-14
Juliane,1996-07-24
Damaris,1953-09-11
Lorie,1973-07-19
Layla,1964-03-22
Jany,1969-01-03
Gerrie,1973-05-20
Lorne,1985-11-28
Roslyn,1992-08-02
Josephine,1978-04-25
Consuela,1950-10-01
Dolli,1996-03-26
Dione,1956-08-06
Oona,1960-09-24
Beth,1969-02-12
Dale,1966-01-28
Madalyn,1993-12-27
Sissy,1967-10-10
